phrase,chi2
waste fraud,0.46042305088346364
alien child,0.4605321631964079
find job,0.4615870662301309
border patrolman,0.4620006666045987
immigration illegal,0.46203070657484246
family apart,0.462056091137183
bring comprehensive,0.4623383782234187
family tear,0.46287194586256725
terrorist organization,0.463325034249256
appreciate gentleman,0.4635375387677425
congress change law,0.46370876951249734
house version,0.464038112587352
go let,0.4641850206908421
constitution united,0.46433451412727567
put interest illegal,0.4644848696880784
president amnesty,0.4646266710801543
legalize million,0.4647548693328614
state new york,0.4664777453539374
vawa reauthorization,0.4667060401844777
believe rule,0.46681588038886324
poison pill,0.4668291011647622
world combine,0.4673615408339238
border agent,0.467704967034732
article iii court,0.4684395927645829
iii court,0.4684395927645829
give away,0.4685346585076323
immigrant order,0.46853841030778953
health insurance pay,0.468589657752654
sexual assault,0.469243818796108
legislative branch,0.47017464319423674
secretary napolitano,0.4702669306328846
right keep bear,0.4706640564551434
american community,0.4707080780106607
welfare benefit,0.4709896510177951
article ii,0.47187731435431357
survey find,0.47252777737417834
violence woman reauthorization,0.47267450159235147
woman reauthorization,0.47267450159235147
hire legal,0.47273681290857883
find percent,0.4729061993937733
percent likely voter,0.4729241223734415
law faithfully,0.47347522497064026
immigrate country,0.474101159245001
victim violence,0.47423227679066093
want ignore,0.4749168801276209
family together,0.4752830900067605
mexican government,0.4756656481903945
country legally,0.475717329583512
article go,0.47718273503071934
eliminate diversity visa,0.47719214245502894
hardworking immigrant,0.4775066131376848
unite family,0.4776435171371578
americans first,0.4776913852129594
america come,0.47817883647570375
compete illegal,0.47825522037171486
surge illegal,0.47840883219741204
visa lottery,0.478649102018132
bear arm,0.4806541015795065
keep bear arm,0.4806541015795065
hillary clinton,0.4806801244478475
legalize million illegal,0.48145425184367074
whole lot,0.48173787921426914
buy insurance,0.48196021051940574
people would,0.48333298677313496
even illegal,0.4834367743993047
violence victim,0.4839151123587825
date violence,0.4847873201110301
result president,0.48510776102369446
law want,0.485143376616723
need deserve,0.4855316289509496
illegal immigrant convict,0.4855486738271715
immigrant convict,0.4855486738271715
country every one,0.4857247817509951
health insurance company,0.48707707095143465
domestic sexual,0.4872243411942716
support comprehensive,0.48810664636422163
president administration,0.4889053165080021
welfare program,0.48922409412517565
million family,0.48996243811591456
benefit package,0.4929671923017186
national debt,0.4933939110980374
sexual orientation,0.4936065920215572
madam chairman,0.4949082745200205
illegal immigrant mr,0.4957500521348207
legal immigrant worker,0.4959998225172967
free pass,0.496750860976252
jewish americans,0.49718353433657037
individual mandate,0.49737001271958936
brian terry,0.4975369757561573
lawabide citizen,0.498054688419893
american dream,0.4999559187813918
senate bipartisan,0.5002849037511699
people break law,0.5004200702726747
likely voter,0.50057743271916
congress president,0.5017802742151738
follow law,0.5027361283201836
speaker president,0.5031429677550066
country right way,0.5071553441963071
sexual violence,0.5074207557067734
right keep,0.5084878055887208
number million,0.5086743783580048
bipartisan support,0.5093053345683921
immigrant go,0.5096277484198839
mr colalillo,0.5105797552088542
decision grant amnesty,0.5109831317207315
obtain benefit,0.5118129362047482
people want,0.5118892271996563
live fear,0.5119555319442843
immigrant victim,0.5120453679671549
use military,0.5127801430383933
previous question,0.5128328928807496
illegally country,0.512960072129631
legislative power,0.5129902481683466
contribution immigrant,0.5138616744877416
keep bear,0.5139923050733635
legalize status,0.5146234169775123
enforce nation,0.5147840608799774
make clear,0.5156288887634232
foreign country,0.5167072607239571
hague convention,0.5174212980519923
private health,0.5174392586632917
deport illegal,0.5174665730353096
community college,0.5175109076304569
job federal,0.5184440142658385
job federal government,0.5184440142658385
robert rector,0.5196839639174387
father hesburgh,0.5203781161225488
lgbt victim,0.5239692864519184
radical islamic,0.5241506613472847
people break,0.5246303730162738
keep family together,0.5246507402900741
senate gang eight,0.5249671808650813
rape kit,0.5249703857422274
bnai israel,0.5263770371275565
president enforce,0.526504024458802
make country,0.5266006623931131
united states would,0.5293519008951492
promise amnesty,0.5302557343439636
new law,0.5305556399001659
balance power,0.5306399756494388
visa lottery program,0.5314485646790867
federal spending,0.532873803445487
pay penalty,0.5332073450166399
executive overreach,0.5332288282884103
come country,0.5336049516012558
support rule,0.5359636780662493
exim bank,0.5363329379676818
change law,0.538659957092316
congress change,0.5391910932348867
judicial branch,0.5392662155452449
mr speaker rise,0.5411150913170799
worker ahead,0.5412380342374628
arizona immigration law,0.5413973727756625
legal immigrant come,0.5420349338464835
border result,0.5420787772740818
percent likely,0.5425882973534103
fear deportation,0.5435417534414041
almost everyone country,0.543851829245584
get free,0.5439878905267082
ignore american,0.5443188134471485
ignore american people,0.5443188134471485
speaker rise,0.5443489587030231
kill americans,0.5458151036157666
take oath,0.5463133664049218
would say,0.5463730663247324
criminal alien,0.5466471242703423
take place,0.5467051651152591
ahead interest,0.5468724149318158
unlawful alien,0.550007027122013
states eliminate,0.5514423681597043
states eliminate diversity,0.5514423681597043
united states eliminate,0.5514423681597043
states would,0.5525547871453608
mario cuomo,0.5544879360233783
private insurance,0.5554656586592489
thousand illegal immigrant,0.5577128122553439
percent illegal immigrant,0.5588967468525489
reauthorization bill,0.5589242271494912
sec deficitneutral,0.5592855363444933
sec deficitneutral reserve,0.5592855363444933
property right,0.5594347244532127
benefit illegal,0.5601296120984803
everyone country,0.5615495734425805
allow illegal,0.5616009711789036
grant amnesty illegal,0.5620326654681833
criminal illegal alien,0.5628280562973185
judge trieber,0.5632950163224129
reflect value,0.5637216480329664
bipartisan senate bill,0.5654215245478539
fence wall,0.5655247685255858
islamic state,0.5658507441071741
