phrase,chi2
vawa reauthor,0.46551148869236314
world combin,0.4655349210941542
chines american,0.4658154363457094
right keep bear,0.465995120109892
bill amend,0.46630176477234664
health insur compani,0.4664634481901027
would say,0.46662982159341926
given amnesti,0.4672135107595513
legisl branch,0.4687335715090065
poison pill,0.4695274039652261
state new york,0.46965049819476035
come countri illeg,0.46976508142735796
balanc budget,0.46984706808829335
hire legal,0.47119983405648824
illeg immigr law,0.471482666326916
visa lotteri program,0.471908671934099
sexual assault,0.47260529633324244
victim violenc,0.4726777723523452
worker american,0.4726780584647965
new york,0.4726872572240725
pacif american heritag,0.47274886151639917
refus enforc,0.4727773966714932
mexican govern,0.4729132749240439
want ignor,0.4743773249288318
famili togeth,0.47441317865923993
percent like voter,0.4747666037765004
torn apart,0.4747723255221733
black american,0.4750216335632174
surg illeg,0.4754973602382577
compet illeg,0.4755335805014536
survey found,0.4757329677572294
bear arm,0.4758039277776037
keep bear arm,0.4758039277776037
legisl power,0.4761046179092007
whole lot,0.47636034455196685
pelosi health,0.4793806075312886
health insur pay,0.4796948613999219
congress chang,0.4810492541510229
visa lotteri,0.48121375661886534
violenc victim,0.48148791916358313
countri legal,0.4819036114496884
countri everi one,0.4819223651551642
peopl come countri,0.4823914657828483
peopl would,0.48254817949861384
found father,0.4825619598282158
articl ii,0.4833402288074452
result presid,0.4840515972746857
invest research,0.48450217177093446
domest sexual,0.4858003016201047
illeg immigr convict,0.48634258875334524
immigr convict,0.48634258875334524
support comprehens,0.4866104829053695
support terror,0.4867712246022845
report crime,0.48692646024386665
million famili,0.4876158148694149
immigr nation,0.4880968218880762
present unit,0.4889605962862634
benefit packag,0.4893191961033063
mani american,0.4902590972597709
illeg immigr presid,0.4917402285553685
unemploy american,0.4920754387528946
individu mandat,0.4926613802727895
free pass,0.49315294073046306
madam chairman,0.49347636459492067
contribut immigr,0.4937100318954276
mrs kinnunen,0.493961118072545
presid administr,0.4945422384033627
sexual orient,0.494709288441043
senat bipartisan,0.49477568536993555
right keep,0.49500052959318036
mr speaker presid,0.4956616832442095
presid unilater,0.4961666901559427
legal immigr worker,0.4965587665408311
peopl break law,0.4975217026908716
us illeg,0.4991707433385675
welfar program,0.5004772511853373
date violenc,0.5010531435260999
peopl break,0.5011727904732761
said well,0.5017550042332086
american law immigr,0.5021874995413728
like voter,0.5024317610751143
get free,0.5025948558447415
mr speaker american,0.5026837453846121
number million,0.5029121247967155
constitut right,0.5039450930849323
law faith,0.5039796666573604
state legal,0.5040982686524137
unit state legal,0.5040982686524137
countri right way,0.5041755353241524
secretari napolitano,0.5062340188178857
sexual violenc,0.5069856766606673
made clear,0.5075231926269017
unilater amnesti,0.5077486095565988
congress presid,0.5084817373525741
keep bear,0.5087813452793153
american first,0.5088519842071695
decis grant amnesti,0.5089470929249303
mr colalillo,0.5090924374687336
father hesburgh,0.5092984693753262
bipartisan support,0.5097041090210238
hagu convent,0.5098782398742349
abus power,0.5101758594020328
use militari,0.5102867356630396
brian terri,0.5106137755687958
govern spend,0.5107325643918433
say illeg,0.5107369524471338
live fear,0.5107417732423156
foreign countri,0.5109191540074511
obtain benefit,0.5114875019876773
immigr victim,0.5120905149032893
previous question,0.5130530060442811
job feder,0.5131645119657232
job feder govern,0.5131645119657232
eight bill,0.5136245254996363
