phrase,chi2,party
state local,1.5466740193443102e-05,D
encourag colleagu,2.1450736345276792e-05,D
feder fund,2.1450736345276792e-05,D
us togeth,2.1450736345276792e-05,D
dream act,0.00015025577212147008,D
brought floor,0.0002723002564160858,D
us militari,0.0002723002564160858,D
assist program,0.0009594973997388368,D
cannot support,0.0009594973997388368,D
countri one,0.0009594973997388368,D
day ago,0.0009594973997388368,D
famili friend,0.0009594973997388368,D
feder state,0.0009594973997388368,D
immigr year,0.0009594973997388368,D
pledg allegi,0.0009594973997388368,D
immigr came,0.001089316799582824,D
citizen unit,0.0019189947994776736,D
almost year,0.0028364610043341014,D
america american,0.0028364610043341014,D
children live,0.0028364610043341014,D
law also,0.0028364610043341014,D
long ago,0.0028364610043341014,D
today hous,0.0028364610043341014,D
childhood arriv,0.0031432351714182714,D
issu immigr,0.0031432351714182714,D
serious crime,0.0031432351714182714,D
cathol bishop,0.003545576255417634,D
econom opportun,0.003545576255417634,D
good faith,0.003545576255417634,D
taxpay money,0.003545576255417634,D
throughout world,0.003545576255417634,D
home state,0.004023496684967617,D
act pass,0.004254691506501168,D
back work,0.004254691506501168,D
counti sheriff,0.004254691506501168,D
think import,0.005499593980867634,D
new mexico,0.007091152510835268,D
today support,0.007091152510835268,D
right american,0.007591738973600165,D
support resolut,0.007591738973600165,D
victim crime,0.007591738973600165,D
mr thank,0.008509383013002336,D
new jersey,0.010338900360797931,D
perman resid,0.010999187961735268,D
countri everi,0.011649345344800256,D
countri year,0.011649345344800256,D
everi member,0.011649345344800256,D
immigr offici,0.011649345344800256,D
one first,0.011649345344800256,D
support bill,0.012054959268419974,D
take action,0.01234027387532653,D
reform immigr,0.013125757888543931,D
would allow,0.014680458485556791,D
make us,0.01518347794720033,D
countri even,0.018215752569833696,D
immigr want,0.018215752569833696,D
program program,0.018215752569833696,D
right direct,0.018215752569833696,D
time act,0.018215752569833696,D
rise support,0.018791393599317054,D
state border,0.01940758191183658,D
state union,0.01940758191183658,D
immigr would,0.019455286028727634,D
would hope,0.01959609605715716,D
bill bill,0.019964076221380002,D
hous resolut,0.019964076221380002,D
abl work,0.020174883853088167,D
care need,0.020174883853088167,D
congress unit,0.020174883853088167,D
fellow american,0.020174883853088167,D
help make,0.020174883853088167,D
immigr also,0.020174883853088167,D
put peopl,0.020174883853088167,D
technolog engin,0.020174883853088167,D
top prioriti,0.020174883853088167,D
immigr let,0.021469173341804863,D
would stop,0.021469173341804863,D
bill senat,0.023453689558675925,D
cathol church,0.03200597140498199,D
countri mani,0.03200597140498199,D
foreign student,0.03200597140498199,D
two decad,0.03200597140498199,D
econom growth,0.03881516382367316,D
mani year,0.03919219211431432,D
ask us,0.04293834668360973,D
presid act,0.04293834668360973,D
done noth,0.044968442345283285,D
hous democrat,0.044968442345283285,D
let make,0.044968442345283285,D
percent increas,0.044968442345283285,D
take time,0.044968442345283285,D
support hous,0.045202025562552595,D
legal perman,0.04630496803566311,D
bill say,0.04860908679919783,D
secur committe,0.04860908679919783,D
vote pass,0.04860908679919783,D
depart justic,0.05003517211645389,D
mani case,0.05003517211645389,D
side aisl,0.05182100022017893,D
children born,0.05397623207761845,D
hous consid,0.05397623207761845,D
time take,0.05397623207761845,D
today rise,0.05397623207761845,D
would agre,0.05397623207761845,D
law enforc,0.059596442863131885,D
countri mr,0.059957923127044205,D
peopl immigr,0.059957923127044205,D
us hous,0.059957923127044205,D
madam chair,0.06440752002541444,D
becom law,0.06927269529807598,D
bring floor,0.06927269529807598,D
