phrase,chi2,party
ii section constitut,0.0014182305021670507,D
import piec legisl,0.0014182305021670507,D
mani year ago,0.0014182305021670507,D
side aisl would,0.0014182305021670507,D
technolog engin math,0.0014182305021670507,D
member judiciari committe,0.002127345753250584,D
thank good friend,0.002127345753250584,D
ask colleagu join,0.002468054775065306,D
mr would like,0.0028364610043341014,D
legal perman resid,0.004254691506501168,D
chair question amend,0.005824672672400128,D
obama execut action,0.005824672672400128,D
social secur administr,0.005824672672400128,D
today urg colleagu,0.005824672672400128,D
presid georg bush,0.007591738973600165,D
rise today support,0.009876927190265783,D
colleagu join support,0.011649345344800256,D
graduat high school,0.018215752569833696,D
congress unit state,0.020174883853088167,D
million peopl illeg,0.020174883853088167,D
rise today honor,0.020174883853088167,D
commit serious crime,0.021469173341804863,D
oversight govern reform,0.021469173341804863,D
act chair question,0.024304543399598914,D
end fiscal year,0.024304543399598914,D
thank rank member,0.024304543399598914,D
countri histori world,0.029978961563522102,D
presid bill clinton,0.029978961563522102,D
scienc technolog engin,0.044968442345283285,D
support hous resolut,0.044968442345283285,D
homeland secur committe,0.04860908679919783,D
unit state border,0.04860908679919783,D
everi member congress,0.0556003086069573,D
get green card,0.0556003086069573,D
immigr reform think,0.0556003086069573,D
make america better,0.0556003086069573,D
mr last week,0.0556003086069573,D
nation secur interest,0.0556003086069573,D
side aisl vote,0.0556003086069573,D
state feder govern,0.0556003086069573,D
technolog engin mathemat,0.0556003086069573,D
want go back,0.0556003086069573,D
high school diploma,0.0631410401869795,D
consum mr rise,0.06647565465519979,D
rule law nation,0.08128214226038094,D
state law enforc,0.08128214226038094,D
way mean committe,0.08128214226038094,D
reserv balanc time,0.08705732078711645,D
chief justic robert,0.10817952838420739,D
medicar social secur,0.10817952838420739,D
rise support hr,0.10817952838420739,D
secur southern border,0.10817952838420739,D
shall take care,0.10817952838420739,D
world unit state,0.10817952838420739,D
action childhood arriv,0.10844189057332065,D
defer action childhood,0.10844189057332065,D
mr reserv balanc,0.1209240055367719,D
nation immigr law,0.13295130931039958,D
much time may,0.13772598490030252,D
women unit state,0.13772598490030252,D
new york citi,0.14704213846468012,D
unit state mexico,0.16256428452076188,D
american peopl deserv,0.16720326690487108,D
histori unit state,0.16720326690487108,D
step right direct,0.16720326690487108,D
think american peopl,0.16720326690487108,D
world better place,0.16720326690487108,D
action parent american,0.1962604098118858,D
colleagu support resolut,0.1962604098118858,D
committe rank member,0.1962604098118858,D
may consum thank,0.1962604098118858,D
near million peopl,0.1962604098118858,D
seek better life,0.1962604098118858,D
two year ago,0.1962604098118858,D
unit state countri,0.1962604098118858,D
would creat job,0.1962604098118858,D
